Designator,Mid X,Mid Y,Rotation,Layer
C1,191.65,-78.8875,270.0,top
C11,216.7875,-69.545,0.0,top
C13,195.0,-78.8875,270.0,top
C2,193.4,-78.8875,270.0,top
C4,212.4,-61.675,0.0,top
C5,212.4,-64.175,0.0,top
C6,224.4,-58.8375,270.0,top
C7,222.4,-54.8,90.0,top
C8,222.3,-58.0125,90.0,top
C9,217.5625,-64.18,180.0,top
D2,209.8,-45.075,270.0,top
D3,197.0,-74.8,270.0,top
D4,212.8,-46.6,90.0,top
J1,221.0,-49.25,90.0,top
J13,203.25,-42.75,180.0,top
J2,205.0,-77.28,0.0,top
J3,194.65,-42.75,180.0,top
L1,212.4625,-67.875,270.0,top
R1,192.4875,-76.4,0.0,top
R11,214.0,-52.0875,90.0,top
R17,198.8,-74.755,90.0,top
R3,209.8,-48.475,270.0,top
R4,197.05,-78.8875,90.0,top
R7,198.8,-78.8875,270.0,top
SW1,212.75,-76.0,270.0,top
SW2,216.75,-76.0,270.0,top
SW3,213.4,-40.3025,0.0,top
U1,217.1375,-56.95,270.0,top
U2,196.0,-62.25,90.0,top
U3,217.1625,-66.825,0.0,top
